period,strategy,return,cagr,sharpe,max_dd,win_rate,trades
2023 Bull (Jan-Sep),Momentum (NMS),0.6829974250000002,1.0170288300089951,8.384395147130082,-0.042944717030703426,0.5714285714285714,91
2023 Bull (Jan-Sep),Sector (RRV),0.11179148124999982,0.15353191596094407,2.5926544618182983,-0.11879155493448246,0.38181818181818183,320
2023 Q4 (Oct-Dec),Momentum (NMS),0.22800662500000013,1.3231309966316247,6.806851750110274,-0.049182379998335614,0.4666666666666667,67
2023 Q4 (Oct-Dec),Sector (RRV),0.16867739375000013,0.8958948755139897,7.174447029982884,-0.0525702873828165,0.5384615384615384,138
2024 H1 (Jan-Jun),Momentum (NMS),0.38543241875,0.9377612376744988,6.603809421972435,-0.09474875619944599,0.4482758620689655,104
2024 H1 (Jan-Jun),Sector (RRV),0.31223138124999994,0.7356526249568431,5.718333515999246,-0.07689446432712867,0.5584415584415584,242
2024 Correction (Jul-Dec),Momentum (NMS),0.12080288750000001,0.2571834513459572,2.3191061581221333,-0.11048953824746023,0.3870967741935484,107
2024 Correction (Jul-Dec),Sector (RRV),0.08567006249999998,0.17934508695222107,2.4290010982645045,-0.07402704550903437,0.40625,205
Full Period,Momentum (NMS),1.3883368437500003,0.30632104775819324,2.8632912785512845,-0.3243601391125913,0.5224719101123596,587
Full Period,Sector (RRV),0.9798793312499998,0.23324154177478418,2.538025959981129,-0.2761158939276547,0.4329411764705882,1256
